Redshift alpha error sist
0.85118 -3.4e-06 1.284e-05 0. 
0.72913 4.1e-07 1.297e-05 0. 
1.0479 -2.02e-06 2.199e-05 0. 
1.3246 7.03e-06 8.04e-06 0
1.3428 -1.29e-05 9.49e-06 0
0.63308 4.282e-05 4.088e-05 0
1.1743 -3.033e-05 1.093e-05 0
1.2294 -1.472e-05 8.18e-06 0
1.2324 9.81e-06 2.757e-05 0
0.85929 5.78e-06 1.205e-05 0
1.1534 -7.43e-06 1.787e-05 0
0.91059 -3.91e-06 6.09e-06 0
0.55339 -1.837e-05 1.716e-05 0
0.92741 -2.18e-06 1.39e-05 0
1.3196 -7.25e-06 7.61e-06 0
1.5541 -1.87e-05 8.78e-06 0
0.66802 7.5e-07 1.475e-05 0
1.7954 -1.295e-05 1.05e-05 0
0.77292 2.228e-05 1.179e-05 0
0.85452 -2.1e-07 1.27e-05 0
0.51934 -3.365e-05 3.256e-05 0
0.93426 1.877e-05 1.796e-05 0
0.66004 4.44e-06 1.505e-05 0
0.84324 1.02e-06 8.46e-06 0
0.90301 -9.99e-06 1.783e-05 0
1.1726 -3.204e-05 1.546e-05 0
0.9901 1.156e-05 2.399e-05 0
3.4388 9.37e-06 3.912e-05 0
2.3095 -3.949e-05 1.37e-05 1.743e-05
2.1408 -5.418e-05 2.16e-05 1.743e-05
1.4761 -6.58e-06 1.216e-05 0
1.955 1.992e-05 1.048e-05 1.743e-05
2.324 1.7e-07 1.64e-05 0
2.4563 -5.853e-05 2.597e-05 0
2.4628 5.76e-06 1.729e-05 1.743e-05
3.0247 -2.835e-05 3.422e-05 0
2.3742 2.265e-05 3.827e-05 1.743e-05
2.4761 -4.664e-05 1.973e-05 1.743e-05
1.999 5.498e-05 3.178e-05 1.743e-05
2.6253 -7.51e-06 1.388e-05 1.743e-05
2.6253 -5.91e-06 1.773e-05 1.743e-05
0.94841 -3.664e-05 1.857e-05 0
1.0172 -3.18e-06 7.34e-06 0
1.9204 1.399e-05 7.03e-06 1.743e-05
1.8585 -5.48e-05 1.174e-05 1.743e-05
1.864 -1.012e-05 4.92e-06 1.743e-05
2.0653 -2.614e-05 1.017e-05 1.743e-05
2.2794 1.366e-05 4.161e-05 0
2.0951 3.4e-07 7.27e-06 1.743e-05
2.1539 3.605e-05 3.954e-05 0
3.2534 -2.494e-05 3.066e-05 1.743e-05
1.6111 -2.489e-05 2.022e-05 0
3.0173 1.226e-05 2.782e-05 1.743e-05
2.4673 6.973e-05 4.395e-05 0
2.6238 2.141e-05 7.358e-05 0
4.1798 1.237e-05 3.933e-05 0
1.9746 2.86e-06 2.326e-05 0
3.6061 -4.2e-06 4.402e-05 0
0.69404 -1.92e-05 3.916e-05 0
0.84142 5.79e-06 8.04e-06 0
1.8918 -4.45e-06 9.03e-06 1.743e-05
2.4653 -1.306e-05 1.656e-05 1.743e-05
2.5577 -2.53e-06 3.503e-05 0
2.4264 -4.879e-05 3.485e-05 0
2.6147 -6.97e-06 3.801e-05 1.743e-05
1.4342 -1.253e-05 1.167e-05 0
3.3897 -7.843e-05 3.548e-05 0
0.59137 -3.105e-05 2.433e-05 0
0.85118 4.75e-06 1.022e-05 0
1.2679 2.057e-05 2.521e-05 0
