Name zabs M dalpha_ppm error dipole dq trans 
J034943-381031 3.02 17.3 -27.9 34.2 0.2 1350 2
J040718-441013 2.59 17.3 5.7 3.4 0.9 2984 13 
J043037-485523 1.35 16.5 -4.0 2.3 1.6 2990 17
J053007-250329 2.14 18.8 6.7 3.5 -2.5 2990 7
J110325-264515 1.84 15.9 6.1 3.9 1.7 2890 4
J110325-264515 1.84 15.9 5.6 2.6 1.7 2760 3
J115944+011206 1.94 17.5 5.1 4.4 -1.6 2990 12
J133335+164903 1.77 16.7 8.4 4.4 -1.9 2990 15
HE1347-2457 1.43 16.3 -21.3 3.6 4.1 2790 3
J220852-194359 1.92 17.0 8.5 3.8 2.4 3879 16
HE2217-2818 1.69 16.0 1.3 2.4 3.4 2890 6 
Q2230+0232 1.86 18.0 -9.9 4.9 -0.9 3879 14
J233446-090812 2.15 18.0 5.2 4.3 -0.5 3879 16
J233446-090812 2.28 18.0 7.5 3.7 -0.5 2610 7
Q2343+1232 2.43 17.5 -12.2 3.8 -3.8 3879 11
